"Pattern","Replacement","Explanation","Date"
"a(?![eu])","ă","written a is ă except in ae or au","-inf"
"o(?!e)","ă","written o is ŏ except in oe","-inf"
"i","ĭ","written i is ĭ","-inf"
"e","ĕ","written e is ĕ","-inf"
"u","ŭ","written u is ŭ","-inf"
"([āōēīū])(?=[cpbtdkgmnfvszljrʀδŋçx]{0,2}r?[aeouiyɛɔəāōēīūăŏĕĭŭ][cpbtdkgmnfvszljrʀδŋçx]?$)","\1́","Accent on antepenultiem when long vowel","-inf"
"([aeouiyɛɔəāōēīūăŏĕĭŭ])(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[ăŏĕĭŭ][cpbtdkgmnfvszljrʀδŋçx]{0,2}r?[aeouiyɛɔəāōēīūăŏĕĭŭ][cpbtdkgmnfvszljrʀδŋçx]?$)","\1́","Accent on anteantepenultiem when short vowel on antepenultiem","-inf"
"(^[cpbtdkgmnfvszljrʀδŋçx]r?)([ăŏĕĭŭ])(?=[cpbtdkgmnfvszljrʀδŋçx]{0,2}r?[aeouiyɛɔəāōēīūăŏĕĭŭ][cpbtdkgmnfvszljrʀδŋçx]?$)","\1\2́","Accent on antepenultiem when two syllables","-inf"
"x","ks","Latin phonetic x>ks","-inf"
"gn","ŋn","Latin phonetic gn>ŋn","-inf"
"py","pç","Latin phonetic py>pç","-inf"
"c","k","Latin phonetic c>k","-inf"
"v","w","Latin phonetic v>w","-inf"
"qu","kʷ","Latin phonetic qu>kʷ","-inf"
"gu","gʷ","Latin phonetic gu>gʷ","-inf"
"[ĭĕ](?=[āōēīūăŏĕĭŭ])","j","unaccentuated and hiatus ĭ and ĕ>j","-100"
"ŭ(?=[āōēīūăŏĕĭŭ])","w","unaccentuated and hiatus ŭ>w","-100"
"(.*[āōēīūăŏĕĭŭ].*[āōēīūăŏĕĭŭ])m$","\1","final m> zero except monosyllabic","-100"
"^h","","intial h> zero","0"
"oe","e","oe>e","0"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)[bw](?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1β","intervocalic b, w>β","0"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)br(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1βr","intervocalic br>βr","0"
"w","β","w>β","0"
"n(?=sf])","","disparition of n before s, f","0"
"ae","ɛ","ae>ɛ","100"
"ē","e","ē>e","100"
"ĕ","ɛ","ĕ>ɛ","100"
"ō","o","ō>o","100"
"ŏ","ɔ","ŏ>ɔ","100"
"(?=^s[ptkmn])","ĭ","prophetic vowel ĭ before s+occlusive","100"
"k(?=j)","k̬","k+j > k̬","100"
"(cpbtdkgmnfvszljrʀδŋçx)tj","\1t̬","t+j > t̬ after consonants","100"
"(aeouiyɛɔəāōēīūăŏĕĭŭ)tj(?=aeouiyɛɔəāōēīūăŏĕĭŭ)","\1jt̬","intervocalic t+j >jt̬","100"
"k̬","t̬","k̬ > t̬","110"
"(cpbtdkgmnfvszljrʀδŋçx)k̬","\1t̬","k̬ > t̬ after consonants","110"
"(aeouiyɛɔəāōēīūăŏĕĭŭ)jt̬(?=aeouiyɛɔəāōēīūăŏĕĭŭ)","\1jts̬","intervocalic jt̬ >jts̬","110"
"t̬","ts̬","t̬ > ts̬","120"
"(cpbtdkgmnfvszljrʀδŋçx)t̬","\1ts̬","t̬ > ts̬ after consonants","120"
"nj","n̬","nj > n̬","150"
"(?<!s)sj","js̬","one s + j > js̬","150"
"ssj","js̬s̬","ss + j > js̬s̬","150"
"(?<=k)ŭ(?=l[ŭū]$)","","ending in -kŭlu > -klu","190"
"(?<=[lr])[aeouiyɛɔəāōēīūăŏĕĭŭ](?=[cpbtdkgmnfvszljrʀδŋçx][aeouiyɛɔəāōēīūăŏĕĭŭ]$)","","l,r + unaccentuated penultieme vowel > zero","190"
"(?<=[cpbtdkgmnfvszljrʀδŋçx])[aeouiyɛɔəāōēīūăŏĕĭŭ](?=[lr][aeouiyɛɔəāōēīūăŏĕĭŭ]$)","","unaccentuated penultieme vowel + l,r> zero","190"
"(?<=[ns])[āōēīūăŏĕĭŭ](?=[td][aeouiyɛɔəāōēīūăŏĕĭŭ]$)","","n,s + unaccentuated penultieme vowel + t,d > zero","190"
"(?<=[ns])[āōēīūăŏĕĭŭ](?=[td][aeouiyɛɔəāōēīūăŏĕĭŭ]$)","","n,s + unaccentuated penultieme vowel + t,d > zero","190"
"n(?=r)","nd","n+r > ndr","195"
"ĭ","e","ĭ>e","200"
"ī","i","ī>i","200"
"ā","a","ā>a","200"
"ă","a","ă>a","200"
"ū","u","ū>u","200"
"ɛ́(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","íɛ","accentuated ɛ open syllable> íɛ","200"
"(́[cpbtdkgmnfvszljrʀδŋçx]+[aeouiyɛɔəāōēīūăŏĕĭŭ][cpbtdkgmnfvszljrʀδŋçx]+)[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]?$)","\1ə","final vowel other than a >ə in proparoxyton","200"
"([bp]j)[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]?$)","\1ə","final vowel other than a >ə after b, p+j","200"
"([bp]j)[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]?$)","\1ə","final vowel other than a >ə after b, p+j","200"
"(jr)[eouɛɔ](?=[cpbtdkgmnfvszljrʀδŋçx]?$)","\1ə","final vowel other than a >ə after jr","200"
"([aieɛ]́?̯?)β(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1v","intervocalic β>v","200"
"([uoɔ]́?̯?)β(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1","intervocalic β>zero","200"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)βr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1vr","intervocalic βr>vr","200"
"β","v","β>v","200"
"l(?=[cpbtdkgmnfvszjrʀδŋçx])","lˠ","l>lˠ before consonant","200"
"([cpbtdkgmnfvszljrʀδŋçx]?)k(?=[eiɛĭīēĕ])","\1k̬","k+e,i>k̬ initial or after consonant","200"
"(aeouiyɛɔəāōēīūăŏĕĭŭ)k(?=[eiɛĭīēĕ])","\1k̬","intervocalic k+e,i >k̬","200"
"([cpbtdkgmnfvszljrʀδŋçx]?)g(?=[eiɛĭīēĕ])","\1g̬","g+e,i>g̬ initial or after consonant","200"
"^j","d̬","initial j > d̬","200"
"([cpbtdkgmnfvszljrʀδŋçx]?)dy","\1d̬","initial or after consonant dy > d̬","200"
"ŋn","n̬n̬","ŋn > n̬n̬","200"
"ndj","n̬d̬","ndj > n̬d̬","200"
"([cpbtdkgmnfvszljrʀδŋçx]?)k̬(?=[eiɛĭīēĕ])","\1t̬","k̬+e,i > t̬ initial or after consonant","210"
"(aeouiyɛɔəāōēīūăŏĕĭŭ)k̬(?=[eiɛĭīēĕ])","\1jt̬","intervocalic k̬+e,i >jt̬","210"
"([cpbtdkgmnfvszljrʀδŋçx]?)g̬(?=[eiɛĭīēĕ])","\1d̬","g̬+e,i > d̬ initial or after consonant","210"
"^d̬","dʒ̬","initial d̬ > dʒ̬","210"
"([cpbtdkgmnfvszljrʀδŋçx]?)d̬","\1dʒ̬","initial or after consonant d̬ > dʒ̬","210"
"n̬d̬","n̬n̬","n̬d̬ > n̬n̬","210"
"([cpbtdkgmnfvszljrʀδŋçx]?)t̬(?=[eiɛĭīēĕ])","\1ts̬","t̬+e,i > ts̬ initial or after consonant","220"
"(aeouiyɛɔəāōēīūăŏĕĭŭ)jt̬(?=[eiɛĭīēĕ])","\1jts̬","intervocalic jt̬+e,i >jts̬","220"
"([cpbtdkgmnfvszljrʀδŋçx]?)d̬(?=[eiɛĭīēĕ])","\1dʒ̬","d̬+e,i > dʒ̬ initial or after consonant","220"
"([ɛɔ]́[cpbtdkgmnfvszljrʀδŋçx]+)[aeouiyɛɔəāōēīūăŏĕĭŭ](?=[cpbtdkgmnfvszljrʀδŋçx]+[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1","unaccentuated penultieme vowel after ɛ, ɔ > zero","249"
"pç","t̬","pç > t̬","250"
"[bv]j","d̬","b,v + j > d̬","250"
"mj","nd̬","m + j > nd̬","250"
"(?<=p)ç","t̬","ç before p > t̬","250"
"lj","l̬","l+j > l̬","250"
"(?<=[aeouiyɛɔəāōēīūăŏĕĭŭ])(́?)[kg]l(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","l̬","intervocalic kl or gl > l̬","250"
"k([st])","x\1","k +t,s > x","250"
"t̬","tʃ̬","t̬ > tʃ̬","260"
"d̬","dʒ̬","d̬ > dʒ̬","260"
"x([st])","j\1","x+ t,s > j","260"
" tʃ̬"," tʃ","tʃ̬ > tʃ","270"
"ŭ\B","o","internal ŭ>o","300"
"ɔ́(?=[cpbtdkgmnfvszljrʀδŋçx]?r?[aeouiyɛɔəāōēīūăŏĕĭŭ]|$)","úɔ","accentuated ɔ open syllable> úɔ","300"
"(^[cpbtdkgmnfvszljrʀδŋçx])ɛ(?!́)","\1e","ɛ>e initial unaccentuated syllable","300"
"(^[cpbtdkgmnfvszljrʀδŋçx])ɔ(?!́)","\1o","ɔ>e initial unaccentuated syllable","300"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)g(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1γ","intervocalic g>γ","300"
"(āōēīū)ll","\1l","simplification of double ll after long vowels","300"
"m(?=[rl])","mb","m+r,l > mbr or mbl","300"
"n(?=r)","nd","n+r > ndr","300"
"s(?=r)","st","s+r > str","300"
"z(?=r)","zd","z+r > zdr","300"
"l(?=r)","ld","l+r > ldr","300"
"js̬","jz̬","js̬ > jz̬","300"
"rj","jr̬","r + j > jr̬","300"
"ɛ́(?=j[cpbtdkgmnfvszljrʀδŋçx])","íɛ̯","ɛ́+j closed syllable> íɛ̯","350"
"ɔ́(?=j[cpbtdkgmnfvszljrʀδŋçx])","úɔ̯","ɔ́+j closed syllable> úɔ̯","350"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)pr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1br","intervocalic pr>br","350"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)tr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1dr","intervocalic tr>dr","350"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)k(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1g","intervocalic k>g","350"
"(aeouiyɛɔəāōēīūăŏĕĭŭ)jts̬(?=aeouiyɛɔəāōēīūăŏĕĭŭ)","\1jdz̬","intervocalic jts̬ >jdz̬","350"
"(?<=[aeouiyɛɔəāōēīūăŏĕĭŭ])(́?)kr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","gr","intervocalic kr > gr","350"
"(?<=[aeouiyɛɔəāōēīūăŏĕĭŭ])(́?)gr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","γr","intervocalic gr > γr","360"
"(?<=[aeouiyɛɔəāōēīūăŏĕĭŭ])(́?)γr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","jr̬","intervocalic γr > jr̬","370"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́[cpbtdkgmnfvszljrʀδŋçx]+)[aeouiyɛɔəāōēīūăŏĕĭŭ](?=[cpbtdkgmnfvszljrʀδŋçx]+[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1","unaccentuated penultieme vowel > zero","380"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)p(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1b","intervocalic p>b","390"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)t(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1d","intervocalic t>d","390"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)s(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1z","intervocalic s>z","390"
"ŭ\b","o","final ŭ>o","400"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)b(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1β","intervocalic b>β","400"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)br(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1βr","intervocalic br>βr","400"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)g(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1γ","intervocalic g>γ","400"
"w","gw","w>gw (germanic w)","400"
"l(?=[cpbtdkgmnfvszjrʀδŋçx])","lˠ","l>lˠ before consonant","400"
"([cpbtdkgmnfvszljrʀδŋçx]?)k(?=a)","\1k̬","k+a>k̬ initial or after consonant","400"
"([cpbtdkgmnfvszljrʀδŋçx]?)g(?=a)","\1g̬","g+a>g̬ initial or after consonant","400"
"([aeouiyɛɔəāōēīūăŏĕĭŭ]́?̯?)βr(?=[aeouiyɛɔəāōēīūăŏĕĭŭ])","\1vr","intervocalic βr>vr","401"
"([cpbtdkgmnfvszljrʀδŋçx])[cpkgmnfvszljrʀδŋçx]([cpbtdkgmnfvszljrʀδŋçx])","\1\2","central of 3 consonants out","410"
